ID,Name,Description,Category ID,Category Name,Price,Size,Available,Image URL,Popular,Preparation Time,Category EN,Category AZ,Category RU,Category TR,Category AR,Category HI,Category FR,Category IT,Name EN,Name AZ,Name RU,Name TR,Name AR,Name HI,Name FR,Name IT,Description EN,Description AZ,Description RU,Description TR,Description AR,Description HI,Description FR,Description IT,Created At,Updated At
53,Club Sandwich,,,BURGERS & ROLLS,15.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,BURGERS & ROLLS,BURGER VƏ ROLLAR,БУРГЕРЫ И РОЛЛЫ,BURGERLER VE SANDVİÇLER,البرغر والساندويتشات,बर्गर और रोल्स,BURGERS ET SANDWICHS,HAMBURGER E PANINI,Club Sandwich,Club sendviç,Клаб-сэндвич,Kulüp sandviç,كلوب ساندويتش,क्लब सैंडविच,Club sandwich,Club sandwich,,,,,,,,,,
54,Caesar Roll,,,BURGERS & ROLLS,16.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,BURGERS & ROLLS,BURGER VƏ ROLLAR,БУРГЕРЫ И РОЛЛЫ,BURGERLER VE SANDVİÇLER,البرغر والساندويتشات,बर्गर और रोल्स,BURGERS ET SANDWICHS,HAMBURGER E PANINI,Caesar Roll,Sezar roll,Ролл Цезарь,Sezar roll,لفائف سيزر,सीज़र रोल,Caesar roll,Caesar roll,,,,,,,,,,
55,Chicken Burger,,,BURGERS & ROLLS,12.50,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,BURGERS & ROLLS,BURGER VƏ ROLLAR,БУРГЕРЫ И РОЛЛЫ,BURGERLER VE SANDVİÇLER,البرغر والساندويتشات,बर्गर और रोल्स,BURGERS ET SANDWICHS,HAMBURGER E PANINI,Chicken Burger,Toyuq burger,Куриный бургер,Tavuk burger,برغر الدجاج,चिकन बर्गर,Burger au poulet,Hamburger di pollo,,,,,,,,,,
56,Trio Burger,,,BURGERS & ROLLS,17.50,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,BURGERS & ROLLS,BURGER VƏ ROLLAR,БУРГЕРЫ И РОЛЛЫ,BURGERLER VE SANDVİÇLER,البرغر والساندويتشات,बर्गर और रोल्स,BURGERS ET SANDWICHS,HAMBURGER E PANINI,Trio Burger,Üçlü burger,Трио-бургер,Üçlü burger,برغر ثلاثي,ट्रायो बर्गर,Burger trio,Hamburger trio,,,,,,,,,,
57,Meat Quesadilla,,,BURGERS & ROLLS,18.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,BURGERS & ROLLS,BURGER VƏ ROLLAR,БУРГЕРЫ И РОЛЛЫ,BURGERLER VE SANDVİÇLER,البرغر والساندويتشات,बर्गर और रोल्स,BURGERS ET SANDWICHS,HAMBURGER E PANINI,Meat Quesadilla,Ət kesadilya,Кесадилья с мясом,Etli quesadilla,كيساديلا اللحم,मीट क्वेसाडिला,Quesadilla à la viande,Quesadilla con carne,,,,,,,,,,
58,Chicken Quesadilla,,,BURGERS & ROLLS,16.50,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,BURGERS & ROLLS,BURGER VƏ ROLLAR,БУРГЕРЫ И РОЛЛЫ,BURGERLER VE SANDVİÇLER,البرغر والساندويتشات,बर्गर और रोल्स,BURGERS ET SANDWICHS,HAMBURGER E PANINI,Chicken Quesadilla,Toyuq kesadilya,Кесадилья с курицей,Tavuklu quesadilla,كيساديلا الدجاج,चिकन क्वेसाडिला,Quesadilla au poulet,Quesadilla con pollo,,,,,,,,,,
59,Mixed Vegetables with Soya Sauce,,,CHICKEN DISHES,16.50,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,CHICKEN DISHES,TOYUQ YEMƏKLƏRİ,БЛЮДА ИЗ КУРИЦЫ,TAVUK YEMEKLERİ,أطباق الدجاج,चिकन व्यंजन,PLATS DE POULET,PIATTI DI POLLO,Mixed Vegetables with Soya Sauce,Soya souslu qarışıq tərəvəz,Овощи с соевым соусом,Soya soslu karışık sebzeler,خضار مشكلة مع صلصة الصويا,सोया सॉस के साथ मिश्रित सब्जियां,Légumes mixtes à la sauce soja,Verdure miste con salsa di soia,,,,,,,,,,
60,Chicken Milano,,,CHICKEN DISHES,16.50,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,CHICKEN DISHES,TOYUQ YEMƏKLƏRİ,БЛЮДА ИЗ КУРИЦЫ,TAVUK YEMEKLERİ,أطباق الدجاج,चिकन व्यंजन,PLATS DE POULET,PIATTI DI POLLO,Chicken Milano,Toyuq milano,Курица по-милански,Tavuk Milano,دجاج ميلانو,चिकन मिलानो,Poulet Milano,Pollo alla milanese,,,,,,,,,,
61,Chicken Kikkoman,,,CHICKEN DISHES,16.50,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,CHICKEN DISHES,TOYUQ YEMƏKLƏRİ,БЛЮДА ИЗ КУРИЦЫ,TAVUK YEMEKLERİ,أطباق الدجاج,चिकन व्यंजन,PLATS DE POULET,PIATTI DI POLLO,Chicken Kikkoman,Toyuq kikkoman,Курица киккоман,Tavuk Kikkoman,دجاج كيكومان,चिकन किक्कोमान,Poulet Kikkoman,Pollo Kikkoman,,,,,,,,,,
62,Meatballs with Vegetables,,,CHICKEN DISHES,17.50,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,CHICKEN DISHES,TOYUQ YEMƏKLƏRİ,БЛЮДА ИЗ КУРИЦЫ,TAVUK YEMEKLERİ,أطباق الدجاج,चिकन व्यंजन,PLATS DE POULET,PIATTI DI POLLO,Meatballs with Vegetables,Tərəvəzli köftə,Тефтели с овощами,Sebzeli köfte,كرات اللحم مع الخضار,सब्जियों के साथ मीटबॉल्स,Boulettes de viande aux légumes,Polpette con verdure,,,,,,,,,,
63,Fajitas with Chicken,,,CHICKEN DISHES,16.40,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,CHICKEN DISHES,TOYUQ YEMƏKLƏRİ,БЛЮДА ИЗ КУРИЦЫ,TAVUK YEMEKLERİ,أطباق الدجاج,चिकन व्यंजन,PLATS DE POULET,PIATTI DI POLLO,Fajitas with Chicken,Faxitas toyuq ilə,Фахитас с курицей,Tavuklu fajitas,فاهيتا مع الدجاج,चिकन फाहिता,Fajitas au poulet,Fajitas con pollo,,,,,,,,,,
64,Kiev Cutlet,,,CHICKEN DISHES,15.30,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,CHICKEN DISHES,TOYUQ YEMƏKLƏRİ,БЛЮДА ИЗ КУРИЦЫ,TAVUK YEMEKLERİ,أطباق الدجاج,चिकन व्यंजन,PLATS DE POULET,PIATTI DI POLLO,Kiev Cutlet,Kiyev sayağı kotlet,Котлета по-киевски,Kiev usulü kotlet,كوتليت كييف,कीव कटलेट,Côtelette à la Kiev,Cotoletta alla Kiev,,,,,,,,,,
65,Cream Cheese Chicken,,,CHICKEN DISHES,18.50,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,CHICKEN DISHES,TOYUQ YEMƏKLƏRİ,БЛЮДА ИЗ КУРИЦЫ,TAVUK YEMEKLERİ,أطباق الدجاج,चिकन व्यंजन,PLATS DE POULET,PIATTI DI POLLO,Cream Cheese Chicken,Qaymaqli pendirli toyuq,Курица со сливочным сыром,Kremalı peynirli tavuk,دجاج بالجبن الكريمي,क्रीम चीज़ चिकन,Poulet au fromage à la crème,Pollo con formaggio cremoso,,,,,,,,,,
66,Grilled Chicken,,,CHICKEN DISHES,16.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,CHICKEN DISHES,TOYUQ YEMƏKLƏRİ,БЛЮДА ИЗ КУРИЦЫ,TAVUK YEMEKLERİ,أطباق الدجاج,चिकन व्यंजन,PLATS DE POULET,PIATTI DI POLLO,Grilled Chicken,Toyuq izqara,Курица на гриле,Izgara tavuk,دجاج مشوي,ग्रिल्ड चिकन,Poulet grillé,Pollo alla griglia,,,,,,,,,,
67,Lamb with Cherry Sauce,,,MEAT DISHES,23.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,MEAT DISHES,ƏT YEMƏKLƏRİ,МЯСНЫЕ БЛЮДА,ET YEMEKLERİ,أطباق اللحوم,मांस व्यंजन,PLATS DE VIANDE,PIATTI DI CARNE,Lamb with Cherry Sauce,Albalı souslu quzu maça,Ягненок с вишневым соусом,Vişne soslu kuzu,لحم ضأن مع صلصة الكرز,चेरी सॉस के साथ मेमना,Agneau à la sauce cerise,Agnello con salsa di ciliegie,,,,,,,,,,
68,Lamb BBQ,,,MEAT DISHES,22.50,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,MEAT DISHES,ƏT YEMƏKLƏRİ,МЯСНЫЕ БЛЮДА,ET YEMEKLERİ,أطباق اللحوم,मांस व्यंजन,PLATS DE VIANDE,PIATTI DI CARNE,Lamb BBQ,Quzu barbekyu,Ягненок барбекю,Kuzu barbekü,لحم ضأن مشوي,मेमना बारबेक्यू,Agneau BBQ,Agnello BBQ,,,,,,,,,,
69,Pepper Steak,,,MEAT DISHES,34.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,MEAT DISHES,ƏT YEMƏKLƏRİ,МЯСНЫЕ БЛЮДА,ET YEMEKLERİ,أطباق اللحوم,मांस व्यंजन,PLATS DE VIANDE,PIATTI DI CARNE,Pepper Steak,Peper steyk,Стейк с перцем,Biberli biftek,ستيك بالفلفل,पेपर स्टेक,Steak au poivre,Bistecca al pepe,,,,,,,,,,
70,Rib-Eye Steak Porcini,,,MEAT DISHES,45.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,MEAT DISHES,ƏT YEMƏKLƏRİ,МЯСНЫЕ БЛЮДА,ET YEMEKLERİ,أطباق اللحوم,मांस व्यंजन,PLATS DE VIANDE,PIATTI DI CARNE,Rib-Eye Steak Porcini,Rib-eye steak porcini,Рибай стейк порчини,Rib-eye steak porcini,ريب آي ستيك بورتشيني,रिब-आई स्टेक पोर्चिनी,Entrecôte aux cèpes,Ribeye steak ai porcini,,,,,,,,,,
71,Beef Fajitas,,,MEAT DISHES,22.50,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,MEAT DISHES,ƏT YEMƏKLƏRİ,МЯСНЫЕ БЛЮДА,ET YEMEKLERİ,أطباق اللحوم,मांस व्यंजन,PLATS DE VIANDE,PIATTI DI CARNE,Beef Fajitas,Faxitas can əti ilə,Фахитас с говядиной,Etli fajitas,فاهيتا اللحم البقري,बीफ फाहिता,Fajitas au bœuf,Fajitas di manzo,,,,,,,,,,
72,Lamb Casserole,,,MEAT DISHES,18.50,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,MEAT DISHES,ƏT YEMƏKLƏRİ,МЯСНЫЕ БЛЮДА,ET YEMEKLERİ,أطباق اللحوم,मांस व्यंजन,PLATS DE VIANDE,PIATTI DI CARNE,Lamb Casserole,Quzu əti ilə kasarola,Касероле с бараниной,Kuzu güveç,كاسرول لحم الضأن,मेमना कैसरोल,Casserole d'agneau,Casseruola di agnello,,,,,,,,,,
73,Lamb Tandoori with Pilaf,,,MEAT DISHES,46.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,MEAT DISHES,ƏT YEMƏKLƏRİ,МЯСНЫЕ БЛЮДА,ET YEMEKLERİ,أطباق اللحوم,मांस व्यंजन,PLATS DE VIANDE,PIATTI DI CARNE,Lamb Tandoori with Pilaf,Quzu təndir plov ilə,Ягненок тандыр с пловом,Pilavlı tandır kuzu,لحم ضأن تندوري مع الأرز,पिलाफ के साथ तंदूरी मेमना,Agneau tandoori avec pilaf,Agnello tandoori con pilaf,,,,,,,,,,
74,Dolma (Stuffed Grape Leaves),,,NATIONAL CUISINE,13.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,NATIONAL CUISINE,MİLLİ MƏTBƏXİN KLASSİKLƏRİ,БЛЮДА НАЦИОНАЛЬНОЙ КУХНИ,YEREL MUTFAK KLASİKLERİ,المأكولات الوطنية الكلاسيكية,राष्ट्रीय व्यंजन,CUISINE NATIONALE CLASSIQUE,CUCINA NAZIONALE CLASSICA,Dolma (Stuffed Grape Leaves),Yarpaq dolma,Долма в виноградных листьях,Yaprak sarma,دولما (أوراق العنب المحشوة),डोल्मा (भरे हुए अंगूर के पत्ते),Dolma (feuilles de vigne farcies),Dolma (foglie di vite ripiene),,,,,,,,,,
75,Ciz-Biz,,,NATIONAL CUISINE,17.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,NATIONAL CUISINE,MİLLİ MƏTBƏXİN KLASSİKLƏRİ,БЛЮДА НАЦИОНАЛЬНОЙ КУХНИ,YEREL MUTFAK KLASİKLERİ,المأكولات الوطنية الكلاسيكية,राष्ट्रीय व्यंजन,CUISINE NATIONALE CLASSIQUE,CUCINA NAZIONALE CLASSICA,Ciz-Biz,Cız-bız,Джиз-быз,Cız bız,جيز بيز,सिज़-बिज़,Ciz-biz,Ciz-biz,,,,,,,,,,
76,Fried Lamb with Pomegranate,,,NATIONAL CUISINE,20.50,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,NATIONAL CUISINE,MİLLİ MƏTBƏXİN KLASSİKLƏRİ,БЛЮДА НАЦИОНАЛЬНОЙ КУХНИ,YEREL MUTFAK KLASİKLERİ,المأكولات الوطنية الكلاسيكية,राष्ट्रीय व्यंजन,CUISINE NATIONALE CLASSIQUE,CUCINA NAZIONALE CLASSICA,Fried Lamb with Pomegranate,Nar qovurma quzu əti ilə,Жареная баранина с гранатом,Narlı kuzu kavurma,لحم ضأن مقلي مع الرمان,अनार के साथ तला हुआ मेमना,Agneau frit à la grenade,Agnello fritto con melograno,,,,,,,,,,
77,Tenderloin Sac,,,NATIONAL CUISINE,26.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,NATIONAL CUISINE,MİLLİ MƏTBƏXİN KLASSİKLƏRİ,БЛЮДА НАЦИОНАЛЬНОЙ КУХНИ,YEREL MUTFAK KLASİKLERİ,المأكولات الوطنية الكلاسيكية,राष्ट्रीय व्यंजन,CUISINE NATIONALE CLASSIQUE,CUCINA NAZIONALE CLASSICA,Tenderloin Sac,Can əti sac,Вырезка в садже,Saç kavurma,لحم فيليه ساج,साज टेंडरलॉइन,Filet sac,Filetto sac,,,,,,,,,,
78,Chicken Sac,,,NATIONAL CUISINE,18.50,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,NATIONAL CUISINE,MİLLİ MƏTBƏXİN KLASSİKLƏRİ,БЛЮДА НАЦИОНАЛЬНОЙ КУХНИ,YEREL MUTFAK KLASİKLERİ,المأكولات الوطنية الكلاسيكية,राष्ट्रीय व्यंजन,CUISINE NATIONALE CLASSIQUE,CUCINA NAZIONALE CLASSICA,Chicken Sac,Toyuq sac,Курица в садже,Tavuk saç,دجاج ساج,चिकन साज,Poulet sac,Pollo sac,,,,,,,,,,
79,Lamb Sac,,,NATIONAL CUISINE,23.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,NATIONAL CUISINE,MİLLİ MƏTBƏXİN KLASSİKLƏRİ,БЛЮДА НАЦИОНАЛЬНОЙ КУХНИ,YEREL MUTFAK KLASİKLERİ,المأكولات الوطنية الكلاسيكية,राष्ट्रीय व्यंजन,CUISINE NATIONALE CLASSIQUE,CUCINA NAZIONALE CLASSICA,Lamb Sac,Quzu sac,Баранина в садже,Kuzu saç,لحم ضأن ساج,मेमना साज,Agneau sac,Agnello sac,,,,,,,,,,
80,Special Salmon Steak,,,SEAFOOD,27.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SEAFOOD,DƏNİZ MƏHSULLARI,МОРЕПРОДУКТЫ,DENİZ ÜRÜNLERİ,المأكولات البحرية,समुद्री भोजन,FRUITS DE MER,FRUTTI DI MARE,Special Salmon Steak,Xüsusi salmon steyk,Особый стейк из лосося,Özel somon steak,ستيك سلمون خاص,स्पेशल सैल्मन स्टेक,Steak de saumon spécial,Bistecca di salmone speciale,,,,,,,,,,
81,Grilled Salmon,,,SEAFOOD,26.40,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SEAFOOD,DƏNİZ MƏHSULLARI,МОРЕПРОДУКТЫ,DENİZ ÜRÜNLERİ,المأكولات البحرية,समुद्री भोजन,FRUITS DE MER,FRUTTI DI MARE,Grilled Salmon,Qızılbalıq qrildə,Лосось на гриле,Izgara somon,سلمون مشوي,ग्रिल्ड सैल्मन,Saumon grillé,Salmone alla griglia,,,,,,,,,,
82,Trout in a Pan,,,SEAFOOD,23.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SEAFOOD,DƏNİZ MƏHSULLARI,МОРЕПРОДУКТЫ,DENİZ ÜRÜNLERİ,المأكولات البحرية,समुद्री भोजन,FRUITS DE MER,FRUTTI DI MARE,Trout in a Pan,Tavada farel,Форель на сковороде,Tavada alabalık,سمك السلمون المرقط في المقلاة,पैन में ट्राउट,Truite à la poêle,Trota in padella,,,,,,,,,,
83,Sea Bream on the Grill,,,SEAFOOD,26.40,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SEAFOOD,DƏNİZ MƏHSULLARI,МОРЕПРОДУКТЫ,DENİZ ÜRÜNLERİ,المأكولات البحرية,समुद्री भोजन,FRUITS DE MER,FRUTTI DI MARE,Sea Bream on the Grill,Çupra qrildə,Дорада на гриле,Izgara çipura,سمك الدنيس المشوي,ग्रिल पर सी ब्रीम,Dorade grillée,Orata alla griglia,,,,,,,,,,
84,Salmon Fajitas,,,SEAFOOD,25.50,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SEAFOOD,DƏNİZ MƏHSULLARI,МОРЕПРОДУКТЫ,DENİZ ÜRÜNLERİ,المأكولات البحرية,समुद्री भोजन,FRUITS DE MER,FRUTTI DI MARE,Salmon Fajitas,Qızıl balıq faxitas,Фахитас с лососем,Somon fajitas,فاهيتا السلمون,सैल्मन फाहिता,Fajitas au saumon,Fajitas di salmone,,,,,,,,,,
85,Sea Bass with Special Sauce,,,SEAFOOD,27.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SEAFOOD,DƏNİZ MƏHSULLARI,МОРЕПРОДУКТЫ,DENİZ ÜRÜNLERİ,المأكولات البحرية,समुद्री भोजन,FRUITS DE MER,FRUTTI DI MARE,Sea Bass with Special Sauce,Xüsusi souslu sibas,Сибас с особым соусом,Özel soslu levrek,سمك القاروص مع صلصة خاصة,स्पेशल सॉस के साथ सी बास,Bar à la sauce spéciale,Branzino con salsa speciale,,,,,,,,,,
86,Sultan Kebab (4 persons),,,KEBABS,92.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,KEBABS,KABABLAR,ШАШЛЫКИ,KEBAPLAR,الكباب,कबाब,KEBABS,KEBAB,Sultan Kebab (4 persons),Sultan kababı (4 nəfər),Шашлык Султан (на 4 персоны),Sultan kebabı (4 kişilik),كباب سلطان (4 أشخاص),सुल्तान कबाब (4 व्यक्तियों के लिए),Kebab Sultan (pour 4 personnes),Kebab Sultan (per 4 persone),,,,,,,,,,
87,Mixed Kebab,,,KEBABS,20.90,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,KEBABS,KABABLAR,ШАШЛЫКИ,KEBAPLAR,الكباب,कबाब,KEBABS,KEBAB,Mixed Kebab,Qarışıq kabab,Ассорти шашлыков,Karışık kebap,كباب مشكل,मिक्स्ड कबाब,Kebab mixte,Kebab misto,,,,,,,,,,
88,Grilled Chicken,,,KEBABS,22.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,KEBABS,KABABLAR,ШАШЛЫКИ,KEBAPLAR,الكباب,कबाब,KEBABS,KEBAB,Grilled Chicken,Közdə colpa,Курица на углях,Köz tavuk,دجاج مشوي,ग्रिल्ड चिकन,Poulet grillé,Pollo alla brace,,,,,,,,,,
89,Adana Kebab,,,KEBABS,17.50,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,KEBABS,KABABLAR,ШАШЛЫКИ,KEBAPLAR,الكباب,कबाब,KEBABS,KEBAB,Adana Kebab,Adana kabab,Шашлык Адана,Adana kebap,كباب أضنة,अदाना कबाब,Kebab Adana,Kebab Adana,,,,,,,,,,
90,Lamb Chops,,,KEBABS,19.20,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,KEBABS,KABABLAR,ШАШЛЫКИ,KEBAPLAR,الكباب,कबाब,KEBABS,KEBAB,Lamb Chops,Quzu qabırğaları,Бараньи ребрышки,Kuzu pirzola,ريش الضأن,मेमने की पसलियां,Côtelettes d'agneau,Costolette di agnello,,,,,,,,,,
91,Lula Kebab,,,KEBABS,17.50,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,KEBABS,KABABLAR,ШАШЛЫКИ,KEBAPLAR,الكباب,कबाब,KEBABS,KEBAB,Lula Kebab,Lülə kabab,Люля-кебаб,Lüle kebap,كباب لولا,लूला कबाब,Lula kebab,Lula kebab,,,,,,,,,,
92,Chicken Kebab,,,KEBABS,16.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,KEBABS,KABABLAR,ШАШЛЫКИ,KEBAPLAR,الكباب,कबाब,KEBABS,KEBAB,Chicken Kebab,Toyuq kababı,Куриный шашлык,Tavuk şiş,كباب الدجاج,चिकन कबाब,Kebab de poulet,Kebab di pollo,,,,,,,,,,
93,Lamb Pieces BBQ,,,KEBABS,18.50,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,KEBABS,KABABLAR,ШАШЛЫКИ,KEBAPLAR,الكباب,कबाब,KEBABS,KEBAB,Lamb Pieces BBQ,Tikə kababı,Шашлык из кусочков баранины,Kuzu şiş,قطع لحم الضأن المشوي,मेमने के टुकड़े बारबेक्यू,Brochettes d'agneau,Kebab di agnello a pezzi,,,,,,,,,,
94,Marinated Beef,,,KEBABS,19.80,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,KEBABS,KABABLAR,ШАШЛЫКИ,KEBAPLAR,الكباب,कबाब,KEBABS,KEBAB,Marinated Beef,Dana basdırma,Маринованная говядина,Marine dana,لحم بقري متبل,मैरिनेटेड बीफ,Bœuf mariné,Manzo marinato,,,,,,,,,,
95,Liver Kebab,,,KEBABS,18.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,KEBABS,KABABLAR,ШАШЛЫКИ,KEBAPLAR,الكباب,कबाब,KEBABS,KEBAB,Liver Kebab,Ciyər kababı,Шашлык из печени,Ciğer şiş,كباب الكبدة,लिवर कबाब,Kebab de foie,Kebab di fegato,,,,,,,,,,
96,Eggplant Kebab,,,KEBABS,18.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,KEBABS,KABABLAR,ШАШЛЫКИ,KEBAPLAR,الكباب,कबाब,KEBABS,KEBAB,Eggplant Kebab,Badımcan kababı,Шашлык из баклажанов,Patlıcan kebabı,كباب الباذنجان,बैंगन कबाब,Kebab d'aubergines,Kebab di melanzane,,,,,,,,,,
97,Burrata,,,PIZZA,19.00,Regular,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,PIZZA,PİZZALAR,ПИЦЦА,PİZZALAR,البيتزا,पिज्जा,PIZZAS,PIZZA,Burrata,Buratta,Буррата,Buratta,بوراتا,बुराटा,Burrata,Burrata,,,,,,,,,,
